isNewFlavor,In menu,name,category,category,description,tastingNotes,price,instagramUrl,Total cup,Total amount,Quantity,Capacity
false,,Piedmonte Hazelnut,Classic,classic,เฮเซลนัท I.G.P. จากฟาร์มคราฟต์ Scoiattolo Rosso แห่งแคว้น Piedmont ประเทศอิตาลี ดินแดนที่ได้รับการยกย่องว่าเป็นแหล่งปลูกเฮเซลนัทที่ดีที่สุดในโลก ด้วยแร่ธาตุในดินและสภาพภูมิอากาศเฉพาะตัว ทำให้ได้ถั่วที่มีโครงสร้างรสชาติโดดเด่น มอบความหอมมันละมุนละไมราวกับเนย ซ่อนมิติความหวานของวานิลลาอ่อนๆ และน้ำผึ้งตามธรรมชาติ,,300,,,,,100
true,,Da An Song Zhong Dan Cong,Eastern Tea,eastern-tea,Da An Song Zhong Dan Cong จากหมู่บ้านต้าอัน บนเขาเฟิ่งหวง หนึ่งในพื้นที่ปลูกชาตันฉง ที่ได้รับการยอมรับมากที่สุด พื้นที่สูง อากาศเย็น มีหมอกปกคลุม และดินที่อุดมด้วยแร่ธาตุ ทำให้ใบชาสะสมสารหอม (volatile aroma compounds) ได้มาก จึงเป็นแหล่งปลูกที่นักดื่มชาระดับสูงตามหา ตามตำนาน เชื่อว่าสืบเชื้อสายมาจากต้นชาที่รอดมาตั้งแต่ยุคราชวงศ์ซ่ง,แอปริคอตสุก พีช ลำไย แอปริคอตแห้ง น้ำผึ้ง และกล้วยไม้ พุ่งออกมาตั้งแต่แรกเปิดถุง ให้ความรู้สึกของผลไม้สุกฉ่ำหวานมากกว่าสายดอกไม้ เนื้อชาแน่น นุ่ม หวานตามธรรมชาติ และทิ้งความหอมยาวนานติดปลายจมูกและในคอหลังดื่ม,750,,,,,60
false,,Tie Guan Yin Silver Medal (鐵觀音),Eastern Tea,eastern-tea,ชาเถี่ยกวนอินจากเขต Muzha ประเทศไต้หวัน ล็อตพิเศษฤดูใบไม้ผลิปี 2023 การันตีคุณภาพด้วยรางวัลเหรียญเงิน (Silver Medal) จากเวทีประกวดระดับประเทศที่ตัดสินอย่างเข้มข้น โดดเด่นด้วยคาแรกเตอร์การคั่วไฟแบบดั้งเดิมที่ดุดันและจัดจ้าน บอดี้แน่นแต่ยังคงความละมุนและซับซ้อนของมิติรสชาติ เป็นผลงานที่สะท้อนฝีมือการคั่วระดับปรมาจารย์ชาอย่างแท้จริง,ผลไม้สุกอย่างลูกพรุนและพีช ดอกไม้ อบไฟกลาง น้ำผึ้งฉ่ำ คาราเมล  ทิ้งท้ายด้วยกลิ่นถั่วคั่วและโกโก้,600,https://www.instagram.com/p/DZmH0TuICpk,,,,50
true,,Samidori Gokasho (MTCH),Matcha,matcha,"มัทฉะสายพันธุ์ Samidori จากอุจิ ปลูกและผลิตโดย Award-winning ฟาร์ม และเป็นเกรด Competition ที่ทำขึ้นเพื่อส่งประกวด
จัดหาโดย MTCH",ให้คาแรกเตอร์ของ ความเขียวสดชื่นของ สาหร่ายย่างหวาน หน่อไม้ฝรั่ง เปลือกเมลอนกลิ่นหอม และอูมามิที่นุ่มนวล เนื้อชาแน่น สดชื่น และสมดุลอย่างมาก,500,,,,,80
true,,Yame Honō (PAGUcha),Matcha,matcha,"มัทฉะฤดูกาลแรกของปี 2026 ระดับ Koicha จากเมืองยาเมะ จังหวัดฟุกุโอกะ แหล่งปลูกที่ขึ้นชื่อเรื่องชาเนื้อเนียนนุ่มและไร้ความขม โดดเด่นด้วยคาแรกเตอร์การคั่วไฟ ที่ควบคุมความร้อนได้อย่างสง่างามจนได้ชื่อว่า ""Honō"" (เปลวไฟ) ให้มิติอูมามิที่หนักแน่นและจู่โจมตอบโจทย์ผู้หลงใหลในมัทฉะโทนถั่วทุกมิติ","พิสตาชีโอคั่ว, เกาลัดอบ, ถ่านไฟอ่อนๆ, ปลาเนื้อขาวย่าง, อูมามิ, ธัญพืชคั่ว, ขนมปังปิ้ง",450,https://www.instagram.com/p/DZ150VxIC17,,,20,40
false,,French earl Grey (T2),Western Tea,western-tea,"ใบชาเอิร์ลเกรย์เบลนด์อันเป็นเอกลักษณ์จากแบรนด์ T2 ประเทศออสเตรเลีย โดดเด่นด้วยนิยามความหอมแบบ ""Oh-so-fruity"" ที่ฉีกกรอบเอิร์ลเกรย์ดั้งเดิม ผสานกลิ่นสิทรัสอันเป็นเอกลักษณ์ของเบอร์กาม็อตเข้ากับความสดชื่นของสวนผลไม้และดอกไม้ละลานตา",ผลไม้ กุหลาบ ดอกทานตะวัน กระเจี๊ยบ,300,https://www.instagram.com/p/C76q3M6SbjO,,,0,40
false,,Countess Grey (Fortnum & Mason),Western Tea,western-tea,ชาดำจากแบรนด์ชาคู่ราชวงศ์อังกฤษ โดดเด่นด้วยการเบลนด์ความหอมอโรม่าของเบอร์กาม็อตเข้ากับความสว่างของส้มซีทรัส ที่ให้ความหอมเบาสบาย และสดชื่น,น้ำมันเบอกาม็อทสุดคลาสสิกสไตล์ผู้ดีอังกฤษ ปิดท้ายด้วยเปลือกส้ม,300,,,,0,40
false,,Paris-Ginza (Mariage Freres),Western Tea,western-tea,ชาดำเบลนด์พิเศษจากแบรนด์อาร์ติซานของฝรั่งเศส ที่ถ่ายทอดการบรรจบกันของสองมหานคร โดดเด่นด้วยมิติความหอมหวานนุ่มลึกของคาราเมลเนยสไตล์ฝรั่งเศส ผสานความสดชื่นฉ่ำหวานของผลไม้สีแดงอย่างสตรอว์เบอร์รี่ ราสป์เบอร์รี และเชอร์รี,ผลไม้สีแดง ราสป์เบอร์รี เชอร์รี ครีมเนยคาราเมล,300,,,,0,40
true,,Chocolat Madagascar Sambirano Sorbet,Chocolate,chocolate,เมล็ดโกโก้ระดับรางวัลจากหุบเขา Sambirano ประเทศมาดากัสการ์ แหล่งปลูกที่เปรียบดั่ง Burgundy แห่งโลกช็อกโกแลต ยกระดับความคราฟต์ไปอีกขั้นด้วยการนำ Cacao Nibs มาโม่หินเอง แทนการใช้ช็อกโกแลตสำเร็จรูป เพื่อถ่ายทอดรสชาติของแหล่งปลูก เป็น Sorbet ที่ให้โน้ตของผลไม้สีแดงสุกและให้บอดี้ที่หนักแน่นที่ทิ้งทวนความสะอาด,"เบอร์รี่สีแดงสุก, ราสป์เบอร์รี่, เชอร์รี่, ผลไม้ฉ่ำหวาน, บอดี้หนักแน่น",400,https://www.instagram.com/p/DaF9T3oIBbV,,,48,100
true,,Amalfi Lemon Meringue Pie,Special,special,"ถอดแรงบันดาลใจจากขนมคลาสสิก ตีความใหม่โดยเชฟแอมแห่ง Sauvage
เมอแรงก์ถูกสร้างขึ้นใหม่ให้ บาง เบา กรอบ และแทบไม่หวานด้วยเทคนิคพิเศษ แต่ยังหอมผิว Amalfi Lemon เพื่อเติมสัมผัส กลิ่น และมิติ โดยไม่กลบรสชาติของไอศกรีม Amalfi Lemon Curd ที่ซ่อนอยู่ตรงกลาง ให้ความสดชัด สะอาด และเปรี้ยวหอมอย่างเต็มที่",,550,,,,120,200
true,,Akino Tsuki Matcha Strawberry,Special,special,ดัดแปลงจากเครื่ื่องดื่มฟิวชั่นพิเศษ มัทฉะเกรดพิธี Akino Tsuki จาก PAGUcha และสตอเบอรี่ specialty ผสมกับครีมจากฝรั่งเศส จัดเรียงเป็น 3  layers ให้รสชาติที่สดชื่นและสนุกไปพร้อมๆ กัน,,500,,,,49,49
false,,Mint Chocolate (Mint Stracciatella),Special,special,มิ้นท์ช็อกชิพ รสชาติพิเศษที่หาทานได้ยาก ทำจากมิ้นต์ 5 สายพันธุ์ ให้ dynamic ของความหอมมิ้นท์หลากหลายมิติ และราดด้วยช็อกโกแลต shards จาก Amedei No.9 ที่เพิ่มความซับซ้อนของรสชาติตลอดการเดินทาง,,400,https://www.instagram.com/p/DZO3c-pxlPa,,,26,40
false,,Blueberry Yogurt,Special,special,โยเกิร์ตจากวัว Jersey (White by Serene) โดดเด่นด้วยมิติรสชาติอูมามิ ครีมมี่ และสดชื่นเหนือระดับจากน้ำนมของแม่วัวที่เลี้ยงดูอย่างดีในทุ่งหญ้าอุดมสมบูรณ์ เมื่อนำมาจับคู่กับซอสบลูเบอร์รีสายพันธุ์ Sekoya Crunch ที่หวานนำเปรี้ยว หอมฟุ้ง,,350,https://www.instagram.com/p/DAK3sW6vIgY,,,17,30
